category,question,option1,option2,option3,option4,answerIndex
중급 단어,「理由」의 뜻은?,이유,관계,연습,계획,0
중급 단어,「習慣」의 뜻은?,경험,가치,습관,책임,2
중급 단어,「連絡」의 뜻은?,기억,노력,도전,연락,3
중급 단어,「結果」의 뜻은?,원인,방법,환경,결과,3
중급 단어,「予定」의 뜻은?,경험,이유,예정,연락,2
중급 단어,「説明」의 뜻은?,준비,약속,상황,설명,3
중급 단어,「確認」의 뜻은?,선택,도전,노력,확인,3
중급 단어,「方法」의 뜻은?,관계,이유,방법,결과,2
중급 단어,「文化」의 뜻은?,언어,환경,경제,문화,3
중급 단어,「意見」의 뜻은?,결정,의견,상황,책임,1
중급 단어,「関係」의 뜻은?,관계,계획,설명,결과,0
중급 단어,「準備」의 뜻은?,판단,경험,가능성,준비,3
중급 단어,「生活」의 뜻은?,도전,생활,시간,기억,1
중급 단어,「仕事」의 뜻은?,가족,여행,학교,일,3
중급 문법,「〜と思います」의 뜻은?,~하고 싶습니다,~라고 생각합니다,~였습니다,~하지 않습니다,1
중급 문법,「日本へ行ったことがあります」의 뜻은?,일본에 갑니다,일본에서 일합니다,일본에 살고 있습니다,일본에 간 적이 있습니다,3
중급 문법,「〜ながら」의 의미는?,부정 표현,희망 표현,과거 표현,동시에 두 행동,3
중급 문법,「〜なければなりません」의 뜻은?,~하고 싶습니다,~일지도 모릅니다,~하지 않아도 됩니다,~해야 합니다,3
중급 문법,「雨が降りそうです」의 뜻은?,비가 올 것 같습니다,비가 그쳤습니다,비가 왔습니다,비가 옵니다,0
중급 문법,雨が降っている ___ 傘を持って行きます。,だけ,ので,しか,でも,1
중급 문법,日本へ行った ___ があります。,よう,ため,こと,もの,2
중급 문법,音楽を聞き ___ 勉強します。,だけ,ながら,しか,まで,1
중급 문법,日本語を話せる ___ なりました。,ために,ほどに,ように,だけに,2
중급 문법,明日は雨が降る ___ です。,しか,まで,そう,だけ,2
중급 문법,「〜てもいいです」의 뜻은?,~일 것입니다,~하지 않습니다,~해도 됩니다,~해야 합니다,2
중급 문법,「〜てはいけません」의 뜻은?,~일지도 모릅니다,~해서는 안 됩니다,~하고 싶습니다,~해도 됩니다,1
중급 문법,ここで写真を ___ いいですか。,撮るだけ,撮っても,撮っては,撮るしか,1
중급 문법,ここでたばこを吸って ___ 。,あります,もいいです,はいけません,います,2
중급 문법,毎日日本語を勉強する ___ しています。,ためで,しか,だけで,ように,3
중급 문법,「〜前に」의 뜻은?,~하기 전에,~때문에,~한 후에,~하면서,0
중급 문법,寝る ___ 歯をみがきます。,そうに,ながら,ことが,前に,3
중급 문법,「〜後で」의 뜻은?,~하면서,~하지 않고,~하기 전에,~한 후에,3
중급 문법,ご飯を食べた ___ 勉強します。,前に,ために,後で,ながら,2
중급 문법,「〜たり〜たりします」의 의미는?,여러 행동을 예로 듦,반드시 해야 함,불가능함,추측함,0
고급 단어,「価値観」의 뜻은?,경제관념,가치관,성격,생활 방식,1
고급 단어,「責任」의 뜻은?,의무,자유,책임,권리,2
고급 단어,「効率」의 뜻은?,노력,결과,효율,속도,2
고급 단어,「状況」의 뜻은?,문제,계획,상황,환경,2
고급 단어,「可能性」의 뜻은?,가능성,선택,경험,결정,0
고급 단어,「影響」의 뜻은?,책임,영향,선택,결과,1
고급 단어,「判断」의 뜻은?,계획,비교,판단,기록,2
고급 단어,「解決」의 뜻은?,표현,설명,이해,해결,3
고급 단어,「特徴」의 뜻은?,상황,특징,경험,조건,1
고급 단어,「意識」의 뜻은?,관계,의식,결과,목적,1
고급 단어,「選択」의 뜻은?,환경,책임,선택,상황,2
고급 단어,「目的」의 뜻은?,목적,결과,조건,수단,0
고급 단어,「条件」의 뜻은?,조건,상황,특징,의식,0
고급 단어,「比較」의 뜻은?,가능성,비교,선택,판단,1
고급 단어,「改善」의 뜻은?,평가,감소,변화,개선,3
고급 단어,「評価」의 뜻은?,책임,영향,평가,관계,2
고급 단어,「制限」의 뜻은?,확장,제한,설명,경험,1
고급 단어,「認識」의 뜻은?,결과,인식,상황,가치,1
고급 단어,「表現」의 뜻은?,표현,판단,조건,목적,0
고급 단어,「傾向」의 뜻은?,상황,경향,선택,책임,1
고급 문법,「〜わけではない」의 의미는?,해야 한다,반드시 그런 것은 아니다,절대 아니다,하고 싶다,1
고급 문법,「〜に違いない」의 뜻은?,~하지 않는다,~임에 틀림없다,~하고 싶다,~일지도 모른다,1
고급 문법,「〜ようにする」의 뜻은?,~해버리다,~하도록 노력하다,~할 수 없다,~하지 않는다,1
고급 문법,「〜ことになる」의 의미는?,개인 의지,추측 표현,결정된 상태가 되다,희망 표현,2
고급 문법,「彼が来るとは限らない」의 뜻은?,그가 오지 않는다,그는 반드시 온다,그가 이미 왔다,그가 온다고 단정할 수 없다,3
고급 문법,彼が来る ___ 限らない。,まで,しか,とは,だけ,2
고급 문법,成功する ___ 努力が必要だ。,ほど,しか,だけ,ためには,3
고급 문법,日本語が話せる ___ 就職しやすい。,ようになると,ほど,しか,だけ,0
고급 문법,彼は忙しい ___ 、約束を守った。,まで,しか,にもかかわらず,だけ,2
고급 문법,努力した ___ 、結果が出なかった。,ように,だけ,ために,にもかかわらず,3
고급 문법,「〜とはいえ」의 뜻은?,~일 뿐,~라고는 해도,~하기 위해,~하지 않고,1
고급 문법,子ども ___ 、自分の意見を持っている。,とはいえ,まで,だけ,しか,0
고급 문법,「〜にすぎない」의 뜻은?,~할 수 있다,~해야 한다,~인 것 같다,~에 지나지 않는다,3
고급 문법,これは一つの例 ___ 。,ようだ,べきだ,にすぎない,に違いない,2
고급 문법,「〜ざるを得ない」의 뜻은?,~해도 된다,~할 예정이다,~하지 않을 수 없다,~하지 않는다,2
고급 문법,状況を考えると、計画を変え ___ 。,とはいえ,てもいい,ざるを得ない,にすぎない,2
고급 문법,「〜べきだ」의 뜻은?,~해야 한다,~인 것 같다,~일지도 모른다,~해도 된다,0
고급 문법,学生はもっと勉強する ___ 。,とはいえ,にすぎない,だけだ,べきだ,3
고급 문법,「〜において」의 뜻은?,~하면서,~에 있어서,~때문에,~하기 전에,1
고급 문법,現代社会 ___ 、情報は重要だ。,だけで,しか,において,まで,2
